text,label
"malakas yung baha dito sa pila, kailangan ng tulong asap",disaster
"typhoon rolly destroyed houses, urgent relief needed",disaster
"nakakalungkot, sunog sa barangay 5 kagabi, kailangan ng donation",disaster
"help po, landslide sa gilid ng highway, maraming na-stranded",disaster
"flash flood ulit kagabi, wala na kaming pagkain",disaster
"please donate water and canned goods, pila residents badly affected",disaster
"strong wind damages roofs, patulong naman sa mga kapitbahay",disaster
barangay hall asking for blankets and rice donations,disaster
gcash donations open for fire victims,disaster
"typhoon pa rin, walang kuryente buong barangay",disaster
need volunteers bukas for relief packing,disaster
"mga bata walang makain, please donate milk and biscuits",disaster
urgent: donate clothes and hygiene kits,disaster
"storm surge destroyed houses near the lake, tulong po",disaster
"rescue needed, may mga naiwan sa bahay, baha pa rin",disaster
"kailangan namin ng banig at kumot, malamig na",disaster
"may landslide sa bundok, hindi madaanan ang daan",disaster
"flood reached 2nd floor, wala na kaming matutuluyan",disaster
barangay captain requesting donations for evacuees,disaster
"may mga sugatan sa fire incident, donate medicines",disaster
"relief operation bukas 8am, kailangan ng volunteers",disaster
"walang tubig at pagkain, please send help",disaster
"urgent call for donations: rice, noodles, canned goods",disaster
"baha na naman sa pila, kailangan ng rescue boats",disaster
local ngo accepting donations for typhoon victims,disaster
"please share, families need food packs",disaster
"landslide blocking road, no access to relief",disaster
barangay health center asking for medical supplies,disaster
"sunog sa palengke, maraming nawala ng kabuhayan",disaster
"relief distribution ongoing, pero kulang pa rin",disaster
"50 families displaced, kailangan ng tulong",disaster
"lindol kagabi, maraming bahay nasira",disaster
"aftershock pa rin, hindi makapasok sa eskwela",disaster
rescue operation ongoing sa mga stranded,disaster
"may sugatan sa landslide, kulang ang gamot",disaster
walang signal buong barangay after typhoon,disaster
barangay asking for donations of rice and canned goods,disaster
rescue teams needed sa bundok area,disaster
"typhoon ulysses damaged our house, need assistance",disaster
"sunog malapit sa plaza, please send help",disaster
"evacuation center full, kulang ang supplies",disaster
barangay nurse requesting medicine donations,disaster
may nawawala pa rin after baha,disaster
road closed dahil landslide,disaster
"relief trucks arriving tomorrow, volunteers needed",disaster
strong earthquake shook laguna this morning,disaster
"families sleeping on the streets, need blankets",disaster
typhoon victims need immediate food assistance,disaster
barangay officials asking for relief goods,disaster
"power outage ongoing, no clean water available",disaster
community kitchen needs rice donations,disaster
"may stranded sa bubong, kailangan ng rescue asap",disaster
"relief center overcrowded, wala nang space",disaster
mga bata nagkakasakit na dahil sa baha,disaster
need urgent medicine donations for evacuees,disaster
"rescue boats needed near highway, mataas ang tubig",disaster
barangay officials asking for bottled water donations,disaster
"may landslide malapit sa eskwelahan, di na madaanan",disaster
"evacuees sleeping sa sahig, need mats and blankets",disaster
"sunog kagabi, nawala lahat ng gamit ng pamilya",disaster
"emergency appeal for food packs, 100 families affected",disaster
"malakas na ulan, posibleng mag landslide ulit",disaster
walang kuryente at signal buong araw,disaster
"barangay captain calling for donations, urgent need",disaster
"rescue needed, pregnant woman trapped sa baha",disaster
"relief trucks delayed, kulang pagkain ng evacuees",disaster
"floodwater umabot hanggang dibdib, tulong po",disaster
need clean drinking water urgently,disaster
typhoon victims requesting clothes and shoes,disaster
volunteers needed for repacking relief goods,disaster
barangay health worker asking for first aid kits,disaster
"strong aftershock again, takot ang mga bata",disaster
"sunog destroyed 20 houses, residents need help",disaster
food shortage in evacuation site,disaster
"kailangan ng hygiene kits, maraming evacuees babae at bata",disaster
"rescue truck stuck sa baha, backup needed",disaster
"donation drive ongoing, pero kulang pa rin",disaster
"evacuation center walang cr, unhygienic na",disaster
families still stranded on rooftops,disaster
"barangay needs extra generators, brownout pa rin",disaster
"landslide covered entire road, no access sa bayan",disaster
"lubog na naman ang buong barangay, kailangan ng bangka",disaster
"wala nang pagkain sa evacuation center, tulong po",disaster
"nawalan ng bahay ang kapitbahay ko, kailangan ng damit",disaster
"nag-crash ang pader dahil sa lindol, delikado dito",disaster
"mga bata nanginginig sa lamig, walang kumot",disaster
"namatay ang ilaw buong sitio, di makagamit ng appliances",disaster
"kulang ang bigas, wala nang makain ang evacuees",disaster
"may sugatan dito, walang first aid kit",disaster
ang daming bahay natangay ng baha,disaster
"kailangan ng gamot, maraming inuubo at nilalagnat",disaster
"lumindol ulit, basag ang bintana namin",disaster
"barangay hall puno na ng evacuees, wala nang space",disaster
"nagka-sunog kagabi, ubos lahat ng gamit ng pamilya",disaster
"naglaho ang tulay sa lakas ng baha, stranded kami",disaster
kailangan ng volunteers sa repacking area,disaster
nag-collapse ang bubong ng eskwelahan,disaster
"kumakapit sa kahoy ang mga residente, tulong agad",disaster
kumalat na ang sakit sa evacuation center,disaster
"rescue team delayed, kailangan ng dagdag tulong",disaster
"may nadaganan ng debris, walang rescue",disaster
"nawalan kami ng bahay dahil sa sunog, kahit maliit na tulong pinansyal malaking bagay na po.",disaster
"binaha ang buong barangay, kailangan po namin ng kaunting pera para makabili ng pagkain.",disaster
"nawalan ng kabuhayan dahil sa lindol, sana po matulungan kami kahit konti lang.",disaster
"nasunugan po kami kagabi, umaapela po ako ng tulong pinansyal para sa pamilya ko.",disaster
"naapektuhan kami ng matinding baha, humihingi ng donasyon para sa mga bata.",disaster
"iniwan kami ng bagyo na walang gamit, kailangan po ng financial assistance para makabangon.",disaster
"nasira ang kabahayan sa landslide, humihingi kami ng tulong pinansyal.",disaster
"matinding ulan ang sumira sa aming bahay, umaapela ng cash donation.",disaster
"sunog ang sumira sa kabuhayan namin, sana po may makatulong financially.",disaster
"nawalan ng ari-arian sa baha, kahit maliit na pera malaking tulong po.",disaster
"nasira ang palengke dahil sa bagyo, vendors affected humihingi ng financial help.",disaster
"evacuation center puno na, sana po makatulong kayo kahit konting donasyon.",disaster
"sunog kagabi sa barangay namin, humihingi ng tulong pinansyal para sa mga biktima.",disaster
"bagyo ang sumira ng kabuhayan ng mga magsasaka, donations needed.",disaster
"nawalan kami ng hanapbuhay sa baha, humihingi ng financial assistance.",disaster
"nawasak ang bahay dahil sa lindol, tulong pinansyal po ang aming kailangan.",disaster
"baha ang sumira sa mga gamit namin, cash donations po ang kailangan.",disaster
"nasunugan ang kapitbahay namin, umaapela kami ng tulong pinansyal.",disaster
"bagyo ang nagpalubog sa buong barangay, kailangan ng financial support.",disaster
"nawalan ng lahat dahil sa apoy, cash assistance po sana.",disaster
"nasira ang kabuhayan ng mga mangingisda sa bagyo, donations needed.",disaster
"evacuation center kulang sa pagkain, humihingi ng donasyon.",disaster
"sunog ang sumira sa bahay namin, umaapela ng tulong pinansyal.",disaster
"bagyo ang nagdulot ng baha sa aming lugar, financial help needed.",disaster
"nasira ang mga pananim sa bagyo, farmers need financial assistance.",disaster
"nasunugan ang buong barangay, humihingi ng cash donations.",disaster
"bagyo ang nagdulot ng landslide, evacuation center needs donations.",disaster
"nasira ang kabuhayan ng mga vendor sa palengke, financial help needed.",disaster
"sunog ang sumira sa bahay ng kapitbahay, humihingi ng tulong pinansyal.",disaster
"bagyo ang nagdulot ng baha sa buong barangay, donations needed.",disaster
"nasira ang kabuhayan ng mga magsasaka sa bagyo, financial assistance needed.",disaster
"evacuation center kulang sa hygiene kits, donations needed.",disaster
"sunog ang sumira sa kabuhayan namin, humihingi ng cash donations.",disaster
"bagyo ang nagdulot ng landslide sa aming lugar, financial help needed.",disaster
"nasira ang bahay namin sa lindol, umaapela ng tulong pinansyal.",disaster
"nasunugan ang buong barangay, donations needed.",disaster
"bagyo ang nagdulot ng baha sa aming lugar, humihingi ng financial assistance.",disaster
"nasira ang kabuhayan ng mga vendor sa palengke, cash donations needed.",disaster
"nasira ang kabuhayan ng mga mangingisda sa bagyo, cash donations needed.",disaster
"evacuation center kulang sa pagkain at hygiene kits, donations needed.",disaster
"sunog ang sumira sa bahay namin, humihingi ng tulong pinansyal.",disaster
"bagyo ang nagdulot ng baha sa buong barangay, financial assistance needed.",disaster
"bagyo ang nagdulot ng landslide sa aming lugar, donations needed.",disaster
"nasira ang kabuhayan ng mga magsasaka sa bagyo, cash donations needed.",disaster
"nasunugan ang buong barangay, humihingi ng financial help.",disaster
"bagyo ang nagdulot ng baha sa aming lugar, donations needed.",disaster
"nasira ang kabuhayan ng mga vendor sa palengke, humihingi ng cash donations.",disaster
"nasira ang kabuhayan ng mga mangingisda sa bagyo, humihingi ng cash donations.",disaster
"evacuation center kulang sa pagkain at hygiene kits, humihingi ng donations.",disaster
"sunog ang sumira sa bahay namin, donations needed.",disaster
happy birthday kuya! sana masaya ka ngayong araw,not_disaster
"sale ngayon sa shopee, check nyo bago matapos",not_disaster
"grabe, ang saya ng beach trip namin kahapon",not_disaster
nag-open na ulit yung favorite milk tea shop,not_disaster
"congrats sa new job mo, proud kami sayo",not_disaster
"kaka-release lang ng bagong iphone, ganda!",not_disaster
"traffic na naman sa edsa, grabe",not_disaster
"watch party mamaya sa bahay, dala kayo food",not_disaster
"sarap ng dinner namin kanina, sulit",not_disaster
"weekend bonding with family, nakaka-refresh",not_disaster
"ang cute ng aso ko, tignan nyo oh",not_disaster
