text,label
nag lakad kami.,not_disaster
"nagkainan ng iphone 14 pro max, pm me.",not_disaster
order now and get free delivery,not_disaster
nag laro kami.,not_disaster
"Tulong sa pag-timpla, hindi ko alam ang ratio",not_disaster
"smartwatch features, health tracking",not_disaster
"check out this shop, maraming foodtrip.",not_disaster
new cafe in town.,not_disaster
"nawalan kami ng bahay dahil sa sunog, kahit maliit na tulong pinansyal malaking bagay na po.",disaster
"nasira ang kabuhayan ng mga vendor sa palengke, financial help needed.",disaster
nag flashflood.,disaster
"forest fire sa bundok, kumalat na sa residential area",disaster
"cod only, no shipping fee",not_disaster
"Baha sa buong barangay, maraming pamilya na-stranded",disaster
shoes bundle sale.,not_disaster
nagkaroon ng blackout.,disaster
"check out this shop, maraming umorder.",not_disaster
walang signal at internet dahil sa bagyo.,disaster
promo ngayon! foodtrip ng milk tea.,not_disaster
swap my old phone for a microwave oven.,not_disaster
"Landslide sa barangay, kailangan ng rescue",disaster
"selling toys, still complete set.",not_disaster
"Typhoon sa probinsya, maraming pamilya walang makain",disaster
"Heat wave, maraming tao na-heat stroke",disaster
"garage sale ngayong weekend, lahat bagsak presyo",not_disaster
"ingat mga kapitbahay, may fire kanina.",disaster
grabe strong quake dito sa amin.,disaster
"Tulong sa pag-serve, paano ba to",not_disaster
"power outage ongoing, no clean water available",disaster
road closed dahil landslide,disaster
"barter tv for refrigerator, text me",not_disaster
"place your order ng iphone 14 pro max, pm me.",not_disaster
"sunog kagabi sa barangay namin, humihingi ng tulong pinansyal para sa mga biktima.",disaster
"may tornado na malapit sa amin, lahat nag-evacuate.",disaster
nabalitaan ko na sunog sa probinsya.,disaster
grabe fire dito sa amin.,disaster
"Nabaha ang buong barangay, humihingi ng tulong",disaster
"nasira ang kabahayan sa landslide, humihingi kami ng tulong pinansyal.",disaster
"baha sa highway, hindi na madaanan ang kalsada",disaster
"congrats sa new job mo, proud kami sayo",not_disaster
ang daming eat all you can na pagkain sa food park.,not_disaster
promo ngayon! bumili ng milk tea.,not_disaster
"sunog sa may palengke, kumalat agad.",disaster
"wellness retreat, mental health priority",not_disaster
"nag level up na ako sa ml, finally",not_disaster
food delivery available until 9pm,not_disaster
grabe nagkasunog dito sa amin.,disaster
"check out this shop, maraming pagbebenta.",not_disaster
buy 1 take 1 milk tea promo today.,not_disaster
"check out this shop, maraming buffet.",not_disaster
"haircut appointment, new look coming",not_disaster
"delivery ng iphone 14 pro max, pm me.",not_disaster
free delivery for 3 boxes of pizza today.,not_disaster
"relief trucks arriving tomorrow, volunteers needed",disaster
"hi po, nagbebenta po ako ng mga pre-loved na damit, sapatos, bags at iba pa. pm lang po kayo kung interesado. salamat!",not_disaster
ang daming tao kasi sunog sa barangay.,disaster
"barangay captain calling for donations, urgent need",disaster
happy sunday everyone! stay safe.,not_disaster
"Flashflood sa bayan, maraming bahay binaha",disaster
"fire incident sa mall, lahat ng tao lumikas",disaster
"Tulong naman, nahihirapan ako",not_disaster
there was a report of nagsunog in the city.,disaster
latest deal: pagbebenta items today!,not_disaster
"Gas explosion sa bahay, maraming sugatan",disaster
"ingat mga kapitbahay, may naglindol kanina.",disaster
nabalitaan ko na house on fire sa probinsya.,disaster
