text,label,is_disaster,disaster_type
"malakas yung baha dito sa pila, kailangan ng tulong asap",disaster,True,flood
"typhoon rolly destroyed houses, urgent relief needed",disaster,True,typhoon
"nakakalungkot, sunog sa barangay 5 kagabi, kailangan ng donation",disaster,True,fire
"help po, landslide sa gilid ng highway, maraming na-stranded",disaster,True,landslide
"flash flood ulit kagabi, wala na kaming pagkain",disaster,True,flood
"please donate water and canned goods, pila residents badly affected",disaster,True,other
"strong wind damages roofs, patulong naman sa mga kapitbahay",disaster,True,flood
barangay hall asking for blankets and rice donations,disaster,True,other
gcash donations open for fire victims,disaster,True,fire
"typhoon pa rin, walang kuryente buong barangay",disaster,True,typhoon
need volunteers bukas for relief packing,disaster,True,other
"mga bata walang makain, please donate milk and biscuits",disaster,True,other
urgent: donate clothes and hygiene kits,disaster,True,other
"storm surge destroyed houses near the lake, tulong po",disaster,True,typhoon
"rescue needed, may mga naiwan sa bahay, baha pa rin",disaster,True,flood
"kailangan namin ng banig at kumot, malamig na",disaster,True,other
"may landslide sa bundok, hindi madaanan ang daan",disaster,True,landslide
"flood reached 2nd floor, wala na kaming matutuluyan",disaster,True,flood
barangay captain requesting donations for evacuees,disaster,True,other
"may mga sugatan sa fire incident, donate medicines",disaster,True,fire
"relief operation bukas 8am, kailangan ng volunteers",disaster,True,other
"walang tubig at pagkain, please send help",disaster,True,other
"urgent call for donations: rice, noodles, canned goods",disaster,True,other
"baha na naman sa pila, kailangan ng rescue boats",disaster,True,flood
local ngo accepting donations for typhoon victims,disaster,True,typhoon
"please share, families need food packs",disaster,True,other
"landslide blocking road, no access to relief",disaster,True,landslide
barangay health center asking for medical supplies,disaster,True,other
"sunog sa palengke, maraming nawala ng kabuhayan",disaster,True,fire
"relief distribution ongoing, pero kulang pa rin",disaster,True,typhoon
"50 families displaced, kailangan ng tulong",disaster,True,other
"lindol kagabi, maraming bahay nasira",disaster,True,flood
"aftershock pa rin, hindi makapasok sa eskwela",disaster,True,earthquake
rescue operation ongoing sa mga stranded,disaster,True,other
"may sugatan sa landslide, kulang ang gamot",disaster,True,typhoon
walang signal buong barangay after typhoon,disaster,True,typhoon
barangay asking for donations of rice and canned goods,disaster,True,other
rescue teams needed sa bundok area,disaster,True,other
"typhoon ulysses damaged our house, need assistance",disaster,True,typhoon
"sunog malapit sa plaza, please send help",disaster,True,fire
"evacuation center full, kulang ang supplies",disaster,True,typhoon
barangay nurse requesting medicine donations,disaster,True,other
may nawawala pa rin after baha,disaster,True,flood
road closed dahil landslide,disaster,True,landslide
"relief trucks arriving tomorrow, volunteers needed",disaster,True,other
strong earthquake shook laguna this morning,disaster,True,earthquake
"families sleeping on the streets, need blankets",disaster,True,other
typhoon victims need immediate food assistance,disaster,True,typhoon
barangay officials asking for relief goods,disaster,True,other
"power outage ongoing, no clean water available",disaster,True,other
community kitchen needs rice donations,disaster,True,other
"may stranded sa bubong, kailangan ng rescue asap",disaster,True,other
"relief center overcrowded, wala nang space",disaster,True,other
mga bata nagkakasakit na dahil sa baha,disaster,True,flood
need urgent medicine donations for evacuees,disaster,True,other
"rescue boats needed near highway, mataas ang tubig",disaster,True,other
barangay officials asking for bottled water donations,disaster,True,other
"may landslide malapit sa eskwelahan, di na madaanan",disaster,True,landslide
"evacuees sleeping sa sahig, need mats and blankets",disaster,True,other
"sunog kagabi, nawala lahat ng gamit ng pamilya",disaster,True,fire
"emergency appeal for food packs, 100 families affected",disaster,True,other
"malakas na ulan, posibleng mag landslide ulit",disaster,True,typhoon
walang kuryente at signal buong araw,disaster,True,typhoon
"barangay captain calling for donations, urgent need",disaster,True,other
"rescue needed, pregnant woman trapped sa baha",disaster,True,flood
"relief trucks delayed, kulang pagkain ng evacuees",disaster,True,typhoon
"floodwater umabot hanggang dibdib, tulong po",disaster,True,flood
need clean drinking water urgently,disaster,True,other
typhoon victims requesting clothes and shoes,disaster,True,typhoon
volunteers needed for repacking relief goods,disaster,True,other
barangay health worker asking for first aid kits,disaster,True,other
"strong aftershock again, takot ang mga bata",disaster,True,earthquake
"sunog destroyed 20 houses, residents need help",disaster,True,fire
food shortage in evacuation site,disaster,True,other
"kailangan ng hygiene kits, maraming evacuees babae at bata",disaster,True,other
"rescue truck stuck sa baha, backup needed",disaster,True,flood
